grade,state,county,tract,school_address,school_name,latitude,longitude
K,11,11001,1,"3220 16TH STREET NW, Washington, District of Columbia 20010",Mundo Verde Bilingual PCS,38.9313597,-77.0367897
K,11,11001,1,"4300 13TH STREET NW, Washington, District of Columbia 20011",Bridges PCS,38.94344,-77.03121
9,11,11001,1,"2427 MARTIN LUTHER KING JR AVENUE SE, Washington, District of Columbia 20020",Thurgood Marshall Academy PCS,38.862346,-76.9937866
9,11,11001,1,"1700 East Capitol St. NE Washington, DC 20003",Eastern HS,38.8903247,-76.9795263
K,11,11001,1,"1755 Newton St. NW Washington, DC 20010",Bancroft ES,38.9347901,-77.0405163
K,11,11001,1,"4601 Texas Ave. SE Washington, DC 20019",Plummer ES,38.88707,-76.9396434
K,11,11001,1,"1328 FLORIDA AVENUE NW, Washington, District of Columbia 20009",Shining Stars Montessori Academy PCS,38.9201092,-77.030712
K,11,11001,1,"711 N STREET NW, Washington, District of Columbia 20001",Center City PCS - Shaw,38.9074271,-77.0224468
K,11,11001,1,"1400 1ST STREET NW, Washington, District of Columbia 20001",Dorothy I. Height Community Academy PCS - Amos 3,38.9090756,-77.0132341
K,11,11001,1,"3700 OAKVIEW TERRACE NE, Washington, District of Columbia 20017",Elsie Whitlow Stokes Community Freedom PCS,38.9349506,-76.9900636
K,11,11001,1,"3200 6th St. SE Washington, DC 20032","King, M.L. ES",38.8425064,-76.9980914
K,11,11001,1,"1350 Upshur St. NW Washington, DC 20011",Powell ES,38.94154,-77.0314048
K,11,11001,1,"1503 10th St. NW Washington, DC 20001",Seaton ES,38.9106173,-77.0252248
9,11,11001,1,"1346 FLORIDA AVENUE NW, Washington, District of Columbia 20009",Booker T. Washington PCS for Technical Arts,38.9199388,-77.0311624
K,11,11001,1,"301 North Carolina Ave. SE Washington, DC 20003",Brent ES,38.8847202,-77.0013712
K,11,11001,1,"5601 EAST CAPITOL STREET SE, Washington, District of Columbia 20019",DC Scholars PCS,38.8893227,-76.9216306
K,11,11001,1,"650 Anacostia Ave NE Washington, DC 20019",Thomas ES,38.901224,-76.952024
K,11,11001,1,"15 KENNEDY STREET NW, Washington, District of Columbia 20011",Roots PCS,38.9567798,-77.0101421
K,11,11001,1,"1299 Neal St. NE Washington, DC 20002",Wheatley EC,38.9042927,-76.9884533
K,11,11001,1,"660 K St. NE Washington, DC 20002",J.O. Wilson ES,38.9029977,-76.9969382
K,11,11001,1,"601 15th St. NE Washington, DC 20002",Miner ES,38.8979598,-76.9829046
K,11,11001,1,"425 Chesapeake St. SE Washington, DC 20032",Hendley ES,38.8287067,-76.9992991
