combo,Grade,universal_sch_id,tract,school_address,school_name,obs,duration
3Wilson HS,9,463,3,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,6,12.131945
6Wilson HS,9,463,6,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,10,6.5227275
7.0100002Wilson HS,9,463,7.0100002,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,10,7.7690477
8.0100002Wilson HS,9,463,8.0100002,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,6,9.25
10.01School Without Walls HS,9,466,10.01,"2130 G St. NW Washington, DC 20037",School Without Walls HS,6,21.021053
10.01Wilson HS,9,463,10.01,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,31,5.4929824
11Wilson HS,9,463,11,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,14,4.1007938
12Wilson HS,9,463,12,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,22,3.0537038
13.01Wilson HS,9,463,13.01,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,10,4.5444446
13.02Wilson HS,9,463,13.02,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,6,7.6999998
14.01Wilson HS,9,463,14.01,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,11,6.0555553
14.02Wilson HS,9,463,14.02,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,12,4.8545456
15Wilson HS,9,463,15,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,23,8.3660917
16Wilson HS,9,463,16,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,17,13.289855
18.030001Columbia Heights EC (CHEC),9,442,18.030001,"3101 16th St. NW Washington, DC 20010",Columbia Heights EC (CHEC),9,9.7597218
18.030001Paul PCS - International High School,9,138 222 227,18.030001,"5800 8TH STREET NW, Washington, District of Columbia 20011",Paul PCS - International High School,6,5.5805554
18.040001Cardozo EC,9,454,18.040001,"1200 Clifton St. NW Washington, DC 20009",Cardozo EC,7,15.279366
18.040001Columbia Heights EC (CHEC),9,442,18.040001,"3101 16th St. NW Washington, DC 20010",Columbia Heights EC (CHEC),17,10.962698
