school_name,drivedura_50,drivedura_mean,drive_traf_dura_50,drive_traf_dura_mean,transdura_50,transdura_mean,schoolLat,schoolLon,tractLat,tractLon
Anacostia HS,18.916666,18.916666,21.233334,21.233334,55.916668,55.916668,38.870022,-76.982956,38.919587,-77.016985
Anacostia HS,23.716667,23.716667,26.799999,26.799999,44.316666,44.316666,38.870022,-76.982956,38.923755,-77.030127
BASIS DC PCS,12.608334,12.608334,14.233334,14.233334,19.775,19.775,38.895306,-77.023308,38.919587,-77.016985
BASIS DC PCS,17.933332,17.933332,20.25,20.25,14.383333,14.383333,38.895306,-77.023308,38.92933,-77.03448
Ballou STAY,29.916666,29.916666,33.849998,33.849998,47.316666,47.316666,38.839355,-77.001419,38.934882,-77.03436
Benjamin Banneker HS,3.05,3.05,3.3166666,3.3166666,6.7833333,6.7833333,38.92358,-77.023956,38.923755,-77.030127
Benjamin Banneker HS,5.0916662,5.0916662,5.6000004,5.6000004,12.608334,12.608334,38.92358,-77.023956,38.923312,-77.034075
Benjamin Banneker HS,4.7166662,4.7166662,4.625,4.625,5.2166662,5.2166662,38.92358,-77.023956,38.919587,-77.016985
Benjamin Banneker HS,5.9499998,6.4666667,7.4499998,7.8611112,11.083333,12.722222,38.92358,-77.023956,38.933873,-77.029747
Benjamin Banneker HS,5.7833333,5.9222221,6.6999998,6.8444443,12,11.216666,38.92358,-77.023956,38.9322,-77.021296
Benjamin Banneker HS,2.9666667,2.9666667,3.1500001,3.1500001,6.5,6.5,38.92358,-77.023956,38.930207,-77.025705
Booker T. Washington PCS for Technical Arts,7.4166665,7.4166665,7.5999999,7.5999999,16.416666,16.416666,38.919937,-77.031166,38.919587,-77.016985
Booker T. Washington PCS for Technical Arts,3.3666666,3.3666666,3.3333333,3.3333333,7.5166669,7.5166669,38.919937,-77.031166,38.917174,-77.03445
Booker T. Washington PCS for Technical Arts,3.1500001,3.1500001,3.3499999,3.3499999,7.75,7.75,38.919937,-77.031166,38.922427,-77.024674
Booker T. Washington PCS for Technical Arts,2.3833334,2.3833334,2.5666666,2.5666666,5.8333335,5.8333335,38.919937,-77.031166,38.923312,-77.034075
Booker T. Washington PCS for Technical Arts,0.66666669,0.66666669,0.66666669,0.66666669,0.28333333,0.28333333,38.919937,-77.031166,38.917263,-77.028029
CHOICE Academy @ Emery,6.2333331,6.2333331,7.2333331,7.2333331,15.05,15.05,38.912708,-77.006546,38.919587,-77.016985
CHOICE Academy @ Emery,10.583333,10.583333,13.35,13.35,27.716667,27.716667,38.912708,-77.006546,38.923755,-77.030127
Capital City PCS - High School,19.183332,19.183332,20.016666,20.016666,42.716667,42.716667,38.962334,-77.01268,38.921954,-77.038863
Capital City PCS - High School,15.700001,15.700001,16.974998,16.974998,40.708336,40.708336,38.962334,-77.01268,38.930102,-77.039828
Capital City PCS - High School,11.9,11.9,13.833333,13.833333,27.583334,27.583334,38.962334,-77.01268,38.930207,-77.025705
Capital City PCS - High School,15.466666,16.058332,17.025,17.725,36.333332,36.012501,38.962334,-77.01268,38.92933,-77.03448
Capital City PCS - High School,14.45,14.45,15.716666,15.716666,37.816666,37.816666,38.962334,-77.01268,38.934882,-77.03436
Capital City PCS - High School,14.1,14.145834,15.25,15.308333,41.266666,43.087502,38.962334,-77.01268,38.934815,-77.039345
Capital City PCS - High School,14.266666,14.266666,16.583334,16.583334,33.849998,33.849998,38.962334,-77.01268,38.923755,-77.030127
Capital City PCS - High School,18.133333,18.133333,20.566668,20.566668,42.650002,42.650002,38.962334,-77.01268,38.917174,-77.03445
Capital City PCS - High School,13.508333,13.525,15.4,15.4125,31.025,31.025,38.962334,-77.01268,38.928705,-77.030267
