school_name,drivedura_50,drivedura_mean,drive_traf_dura_50,drive_traf_dura_mean,transdura_50,transdura_mean,tractLat,tractLon,schoolLat,schoolLon
BASIS DC PCS,23.700001,23.700001,32.683334,32.683334,40.950001,40.950001,38.884242,-76.9253,38.8953055,-77.0233079
BASIS DC PCS,24.866667,24.866667,35.433334,35.433334,42.599998,42.599998,38.892819,-76.92035,38.8953055,-77.0233079
BASIS DC PCS,14.433333,14.433333,24.566668,24.566668,37.866665,37.866665,38.872617,-76.957974,38.8953055,-77.0233079
BASIS DC PCS,17.283333,17.65,24.075001,24.275,33.933334,34.662498,38.866992,-76.966028,38.8953055,-77.0233079
BASIS DC PCS,13.966666,13.966666,23.333334,23.333334,32.916668,32.916668,38.875994,-76.966062,38.8953055,-77.0233079
BASIS DC PCS,18,18,34.966667,34.966667,48.416668,48.416668,38.867951,-76.944824,38.8953055,-77.0233079
BASIS DC PCS,22.216667,22.216667,29.316668,29.316668,30.566668,30.566668,38.887729,-76.935951,38.8953055,-77.0233079
BASIS DC PCS,23.433332,23.522223,28.516666,28.583334,36.566666,35.711113,38.885666,-76.949254,38.8953055,-77.0233079
BASIS DC PCS,18.008333,18.008333,21.391666,21.391666,32.275002,32.275002,38.896337,-76.974406,38.8953055,-77.0233079
BASIS DC PCS,20.183332,20.183332,24.833334,24.833334,41.383335,41.383335,38.89141,-76.946969,38.8953055,-77.0233079
BASIS DC PCS,23.766666,23.766666,28.133333,28.133333,46.25,46.25,38.878294,-76.933826,38.8953055,-77.0233079
BASIS DC PCS,23.383333,23.383333,31.466667,31.466667,37.483334,37.483334,38.884916,-76.930769,38.8953055,-77.0233079
Browne EC,4.6666665,4.6666665,5.9333334,5.9333334,18.916666,18.916666,38.892918,-76.95808,38.9026912,-76.9708893
Browne EC,11.8,11.8,15.516666,15.516666,36.650002,36.650002,38.899093,-76.92036,38.9026912,-76.9708893
Browne EC,3.2833333,3.2833333,3.6083331,3.6083331,9.7250004,9.7250004,38.896337,-76.974406,38.9026912,-76.9708893
Browne EC,9.4499998,9.4499998,13.083333,13.083333,29.833334,29.833334,38.901565,-76.93079,38.9026912,-76.9708893
Burroughs EC,20.216667,20.216667,22.833334,22.833334,68.666664,68.666664,38.885666,-76.949254,38.933612,-76.9788919
Cap Hill Montessori @ Logan,16.633333,16.633333,23.566668,23.566668,50.25,50.25,38.882388,-76.938452,38.8985014,-77.0025711
Cardozo EC,33.733334,33.733334,40,40,61.200001,61.200001,38.872617,-76.957974,38.92195,-77.0282595
Cardozo EC,31.049999,31.049999,37.450001,37.450001,49.900002,49.900002,38.887729,-76.935951,38.92195,-77.0282595
Center City PCS - Capitol Hill,4.0333333,4.0333333,4.2833333,4.2833333,18.700001,18.700001,38.89141,-76.946969,38.8894353,-76.9831822
Center City PCS - Capitol Hill,9.2666664,9.2666664,15.883333,15.883333,27.166666,27.166666,38.909945,-76.939416,38.8894353,-76.9831822
Center City PCS - Capitol Hill,10.3,10.3,15.083333,15.083333,23.733334,23.733334,38.884242,-76.9253,38.8894353,-76.9831822
