county,tract,,tract_new,cntyname,intptlon,intptlat,pop14,afact
county,2010 Tract,,tract_new,cntyname,"Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees",Pop 2014 estimate fr county level ests,tract to tract alloc factor
11001,1,100,100,District of Columbia DC,-77.058857,38.909434,5354.60132,1
11001,2.01,201,201,District of Columbia DC,-77.075216,38.909223,4288.061098,1
11001,2.02,202,202,District of Columbia DC,-77.068127,38.908028,5940.431935,1
11001,3,300,300,District of Columbia DC,-77.075833,38.918477,6825.200414,1
11001,4,400,400,District of Columbia DC,-77.066702,38.923157,1593.24027,1
11001,5.01,501,501,District of Columbia DC,-77.053717,38.925509,3696.755431,1
11001,5.02,502,502,District of Columbia DC,-77.057687,38.928498,3491.988468,1
11001,6,600,600,District of Columbia DC,-77.06607,38.936614,4970.252636,1
11001,7.01,701,701,District of Columbia DC,-77.076022,38.929285,5058.948486,1
11001,7.02,702,702,District of Columbia DC,-77.077303,38.92408,3683.615305,1
11001,8.01,801,801,District of Columbia DC,-77.087021,38.928288,7346.42541,1
11001,8.02,802,802,District of Columbia DC,-77.085244,38.910608,3141.58511,1
11001,9.01,901,901,District of Columbia DC,-77.09655,38.937301,7856.700301,1
11001,9.02,902,902,District of Columbia DC,-77.104037,38.927788,2290.761955,1
11001,10.01,1001,1001,District of Columbia DC,-77.087999,38.94896,8142.49804,1
11001,10.02,1002,1002,District of Columbia DC,-77.078528,38.938056,3769.026123,1
11001,11,1100,1100,District of Columbia DC,-77.07784,38.959127,5233.055155,1
11001,12,1200,1200,District of Columbia DC,-77.070948,38.948211,5483.812558,1
11001,13.01,1301,1301,District of Columbia DC,-77.064237,38.951365,4330.766507,1
11001,13.02,1302,1302,District of Columbia DC,-77.057213,38.940028,7508.486963,1
11001,14.01,1401,1401,District of Columbia DC,-77.070745,38.96434,3370.442303,1
11001,14.02,1402,1402,District of Columbia DC,-77.065451,38.960334,3282.841464,1
11001,15,1500,1500,District of Columbia DC,-77.060616,38.972657,6472.607035,1
11001,16,1600,1600,District of Columbia DC,-77.035159,38.984725,4332.956528,1
11001,17.02,1702,1702,District of Columbia DC,-77.016494,38.972264,2895.207748,1
11001,18.03,1803,1803,District of Columbia DC,-77.034947,38.966521,3847.866879,1
11001,18.04,1804,1804,District of Columbia DC,-77.03081,38.96658,4905.647017,1
11001,19.01,1901,1901,District of Columbia DC,-77.022942,38.964947,4397.562147,1
11001,19.02,1902,1902,District of Columbia DC,-77.016431,38.96304,2156.075664,1
11001,20.01,2001,2001,District of Columbia DC,-77.033639,38.959527,2562.324558,1
11001,20.02,2002,2002,District of Columbia DC,-77.030436,38.953833,4175.275017,1
11001,21.01,2101,2101,District of Columbia DC,-77.023743,38.955896,5813.410717,1
11001,21.02,2102,2102,District of Columbia DC,-77.014481,38.955538,5089.60878,1
11001,22.01,2201,2201,District of Columbia DC,-77.023474,38.949285,3769.026123,1
11001,22.02,2202,2202,District of Columbia DC,-77.015525,38.949632,3380.297398,1
11001,23.01,2301,2301,District of Columbia DC,-77.016449,38.942545,3256.561212,1
11001,23.02,2302,2302,District of Columbia DC,-77.008884,38.93354,2229.441368,1
