county,tract,,tract_new,cntyname,intptlon,intptlat,pop14,afact
11001,24,2400,2400,District of Columbia DC,-77.022404,38.941253,3961.74797,1
11001,25.01,2501,2501,District of Columbia DC,-77.032219,38.94487,2796.656804,1
11001,25.02,2502,2502,District of Columbia DC,-77.030576,38.938912,6540.497686,1
11001,26,2600,2600,District of Columbia DC,-77.041193,38.943071,2371.792732,1
11001,27.01,2701,2701,District of Columbia DC,-77.039345,38.934815,5730.18992,1
11001,27.02,2702,2702,District of Columbia DC,-77.039828,38.930102,5722.524846,1
11001,28.01,2801,2801,District of Columbia DC,-77.03436,38.934882,4131.474597,1
11001,28.02,2802,2802,District of Columbia DC,-77.03448,38.92933,4683.359887,1
11001,29,2900,2900,District of Columbia DC,-77.029747,38.933873,4338.431581,1
11001,30,3000,3000,District of Columbia DC,-77.030267,38.928705,3720.845662,1
11001,31,3100,3100,District of Columbia DC,-77.025705,38.930207,3159.105278,1
11001,32,3200,3200,District of Columbia DC,-77.021296,38.9322,5379.786561,1
11001,33.01,3301,3301,District of Columbia DC,-77.011953,38.918777,3501.843563,1
11001,33.02,3302,3302,District of Columbia DC,-77.01113,38.913875,2336.752396,1
11001,34,3400,3400,District of Columbia DC,-77.016985,38.919587,4760.010621,1
11001,35,3500,3500,District of Columbia DC,-77.024674,38.922427,4095.339251,1
11001,36,3600,3600,District of Columbia DC,-77.030127,38.923755,4607.804162,1
11001,37,3700,3700,District of Columbia DC,-77.034075,38.923312,6310.545482,1
11001,38,3800,3800,District of Columbia DC,-77.038863,38.921954,5052.378423,1
11001,39,3900,3900,District of Columbia DC,-77.041477,38.925571,4899.076954,1
11001,40.01,4001,4001,District of Columbia DC,-77.045993,38.920668,4100.814303,1
11001,40.02,4002,4002,District of Columbia DC,-77.043384,38.918387,3062.744354,1
11001,41,4100,4100,District of Columbia DC,-77.049469,38.915539,2965.28842,1
11001,42.01,4201,4201,District of Columbia DC,-77.038931,38.916152,3659.525074,1
11001,42.02,4202,4202,District of Columbia DC,-77.042884,38.91372,3034.274081,1
11001,43,4300,4300,District of Columbia DC,-77.03445,38.917174,3564.259161,1
11001,44,4400,4400,District of Columbia DC,-77.028029,38.917263,5006.387983,1
11001,46,4600,4600,District of Columbia DC,-77.013092,38.910038,3315.691778,1
11001,47.01,4701,4701,District of Columbia DC,-77.013582,38.904387,4364.711833,1
11001,47.02,4702,4702,District of Columbia DC,-77.014742,38.901503,1973.208912,1
11001,48.01,4801,4801,District of Columbia DC,-77.019751,38.911992,2346.60749,1
11001,48.02,4802,4802,District of Columbia DC,-77.019182,38.906602,3199.620666,1
11001,49.01,4901,4901,District of Columbia DC,-77.02423,38.91189,2285.286903,1
11001,49.02,4902,4902,District of Columbia DC,-77.02487,38.906173,2945.578231,1
11001,50.01,5001,5001,District of Columbia DC,-77.02983,38.911716,2140.745517,1
11001,50.02,5002,5002,District of Columbia DC,-77.028995,38.906585,6593.05819,1
11001,52.01,5201,5201,District of Columbia DC,-77.033819,38.909446,6654.378777,1
11001,53.01,5301,5301,District of Columbia DC,-77.038979,38.911011,5530.89801,1
11001,55,5500,5500,District of Columbia DC,-77.048957,38.907341,7304.815011,1
11001,56,5600,5600,District of Columbia DC,-77.052584,38.899688,7397.890903,1
11001,58,5800,5800,District of Columbia DC,-77.021493,38.897206,3098.8797,1
11001,59,5900,5900,District of Columbia DC,-77.015568,38.898678,3282.841464,1
11001,62.02,6202,6202,District of Columbia DC,-77.025807,38.893127,36.135346,1
11001,64,6400,6400,District of Columbia DC,-77.011736,38.873559,2342.227449,1
11001,65,6500,6500,District of Columbia DC,-77.002786,38.884249,2771.471562,1
11001,66,6600,6600,District of Columbia DC,-76.998329,38.888101,2090.375035,1
11001,67,6700,6700,District of Columbia DC,-76.990094,38.887583,4133.664618,1
11001,68.01,6801,6801,District of Columbia DC,-76.979825,38.887732,2134.175454,1
11001,68.02,6802,6802,District of Columbia DC,-76.981501,38.883102,2282.001871,1
11001,68.04,6804,6804,District of Columbia DC,-76.974781,38.883371,4018.688516,1
11001,69,6900,6900,District of Columbia DC,-76.987206,38.883817,2386.027868,1
11001,70,7000,7000,District of Columbia DC,-76.995929,38.880879,3079.169512,1
11001,71,7100,7100,District of Columbia DC,-76.987637,38.879386,3187.575551,1
11001,72,7200,7200,District of Columbia DC,-77.004237,38.878654,3059.459323,1
11001,73.01,7301,7301,District of Columbia DC,-77.017901,38.83928,3298.171611,1
11001,73.04,7304,7304,District of Columbia DC,-76.986854,38.842239,3882.907215,1
11001,74.01,7401,7401,District of Columbia DC,-76.99772,38.859247,2643.355335,1
11001,74.03,7403,7403,District of Columbia DC,-76.975174,38.848256,3130.635005,1
11001,74.04,7404,7404,District of Columbia DC,-76.980592,38.850527,3624.484738,1
11001,74.06,7406,7406,District of Columbia DC,-76.989439,38.855617,3354.017146,1
11001,74.07,7407,7407,District of Columbia DC,-76.986644,38.858297,2832.79215,1
11001,74.08,7408,7408,District of Columbia DC,-76.970106,38.852965,3326.641883,1
11001,74.09,7409,7409,District of Columbia DC,-76.974271,38.845645,3831.441722,1
11001,75.02,7502,7502,District of Columbia DC,-76.970023,38.8569,4972.442657,1
11001,75.03,7503,7503,District of Columbia DC,-76.986207,38.863144,2655.40045,1
11001,75.04,7504,7504,District of Columbia DC,-76.98049,38.861459,2683.870723,1
11001,76.01,7601,7601,District of Columbia DC,-76.978389,38.870421,4768.770705,1
11001,76.03,7603,7603,District of Columbia DC,-76.957864,38.859671,4428.222441,1
11001,76.04,7604,7604,District of Columbia DC,-76.966028,38.866992,3990.218243,1
11001,76.05,7605,7605,District of Columbia DC,-76.975047,38.865973,3774.501176,1
11001,77.03,7703,7703,District of Columbia DC,-76.949254,38.885666,5679.819437,1
11001,77.07,7707,7707,District of Columbia DC,-76.933826,38.878294,4234.405584,1
11001,77.08,7708,7708,District of Columbia DC,-76.95756,38.886513,2722.19609,1
11001,77.09,7709,7709,District of Columbia DC,-76.966062,38.875994,2197.686063,1
11001,78.03,7803,7803,District of Columbia DC,-76.939928,38.895514,3605.86956,1
11001,78.04,7804,7804,District of Columbia DC,-76.931306,38.895319,3773.406165,1
11001,78.06,7806,7806,District of Columbia DC,-76.931696,38.905784,2569.989631,1
11001,78.07,7807,7807,District of Columbia DC,-76.92036,38.899093,2342.227449,1
11001,78.08,7808,7808,District of Columbia DC,-76.92035,38.892819,3992.408264,1
11001,78.09,7809,7809,District of Columbia DC,-76.93079,38.901565,3199.620666,1
11001,79.01,7901,7901,District of Columbia DC,-76.980854,38.89656,4185.130111,1
11001,79.03,7903,7903,District of Columbia DC,-76.974406,38.896337,1942.548618,1
11001,80.01,8001,8001,District of Columbia DC,-76.986618,38.896169,3048.509218,1
11001,80.02,8002,8002,District of Columbia DC,-76.984844,38.891674,3318.97681,1
11001,81,8100,8100,District of Columbia DC,-76.992526,38.893211,3186.48054,1
11001,82,8200,8200,District of Columbia DC,-77.000098,38.891619,3195.240624,1
11001,83.01,8301,8301,District of Columbia DC,-77.000706,38.897299,2495.528918,1
11001,83.02,8302,8302,District of Columbia DC,-76.996699,38.896038,2415.593152,1
11001,84.02,8402,8402,District of Columbia DC,-76.991813,38.898429,2353.177553,1
11001,84.1,8410,8410,District of Columbia DC,-76.991437,38.90164,1630.470627,1
11001,87.01,8701,8701,District of Columbia DC,-77.006409,38.914697,2635.690261,1
11001,87.02,8702,8702,District of Columbia DC,-77.001805,38.916267,1750.921781,1
11001,88.02,8802,8802,District of Columbia DC,-76.986578,38.904294,4510.348228,1
11001,88.03,8803,8803,District of Columbia DC,-76.9893,38.910418,2230.536378,1
11001,88.04,8804,8804,District of Columbia DC,-76.983998,38.907513,2641.165314,1
11001,89.03,8903,8903,District of Columbia DC,-76.97678,38.904537,2883.162633,1
11001,89.04,8904,8904,District of Columbia DC,-76.974457,38.901161,3623.389727,1
11001,90,9000,9000,District of Columbia DC,-76.959905,38.925037,2991.568672,1
11001,91.02,9102,9102,District of Columbia DC,-76.984394,38.921963,4519.108312,1
11001,92.01,9201,9201,District of Columbia DC,-76.998164,38.928942,2163.740738,1
11001,92.03,9203,9203,District of Columbia DC,-77.004776,38.921809,2827.317098,1
11001,92.04,9204,9204,District of Columbia DC,-76.998356,38.92384,2799.941835,1
11001,93.01,9301,9301,District of Columbia DC,-76.986333,38.930849,3441.617985,1
11001,93.02,9302,9302,District of Columbia DC,-76.99066,38.925201,1301.967478,1
11001,94,9400,9400,District of Columbia DC,-76.974622,38.935699,4558.52869,1
11001,95.01,9501,9501,District of Columbia DC,-77.003694,38.942754,6347.775839,1
11001,95.03,9503,9503,District of Columbia DC,-76.985067,38.944586,3186.48054,1
11001,95.04,9504,9504,District of Columbia DC,-76.993366,38.940887,3312.406747,1
11001,95.05,9505,9505,District of Columbia DC,-77.003899,38.962257,2879.877601,1
11001,95.07,9507,9507,District of Columbia DC,-76.996962,38.958627,1630.470627,1
11001,95.08,9508,9508,District of Columbia DC,-76.996918,38.954655,3602.584528,1
11001,95.09,9509,9509,District of Columbia DC,-76.994139,38.949249,3219.330855,1
11001,96.01,9601,9601,District of Columbia DC,-76.939416,38.909945,2677.30066,1
11001,96.02,9602,9602,District of Columbia DC,-76.949312,38.903666,3591.634423,1
11001,96.03,9603,9603,District of Columbia DC,-76.946969,38.89141,3693.470399,1
11001,96.04,9604,9604,District of Columbia DC,-76.95808,38.892918,2148.410591,1
11001,97,9700,9700,District of Columbia DC,-76.989327,38.833816,3478.848342,1
11001,98.01,9801,9801,District of Columbia DC,-76.995533,38.833524,1724.641529,1
11001,98.02,9802,9802,District of Columbia DC,-76.996305,38.830769,1853.852768,1
11001,98.03,9803,9803,District of Columbia DC,-77.004256,38.835602,3020.038945,1
11001,98.04,9804,9804,District of Columbia DC,-76.997719,38.841157,2707.960954,1
11001,98.07,9807,9807,District of Columbia DC,-77.010361,38.827058,3363.87224,1
11001,98.1,9810,9810,District of Columbia DC,-77.004395,38.82787,2745.191311,1
11001,98.11,9811,9811,District of Columbia DC,-76.998224,38.826882,4779.72081,1
11001,99.01,9901,9901,District of Columbia DC,-76.957974,38.872617,2462.678603,1
11001,99.02,9902,9902,District of Columbia DC,-76.944824,38.867951,3181.005488,1
11001,99.03,9903,9903,District of Columbia DC,-76.92066,38.888321,2026.864426,1
11001,99.04,9904,9904,District of Columbia DC,-76.930769,38.884916,2456.10854,1
11001,99.05,9905,9905,District of Columbia DC,-76.9253,38.884242,3060.554333,1
11001,99.06,9906,9906,District of Columbia DC,-76.935951,38.887729,1419.133601,1
11001,99.07,9907,9907,District of Columbia DC,-76.938452,38.882388,3105.449763,1
11001,101,1010,1010,District of Columbia DC,-77.031359,38.90396,2870.022507,1
11001,102,1020,1020,District of Columbia DC,-77.020226,38.879401,2544.80439,1
11001,103,1030,1030,District of Columbia DC,-77.025842,38.976627,3489.798447,1
11001,104,1040,1040,District of Columbia DC,-77.000358,38.846336,4779.72081,1
11001,105,1050,1050,District of Columbia DC,-77.014616,38.880168,3733.985787,1
11001,106,1060,1060,District of Columbia DC,-76.999321,38.903013,4306.676276,1
11001,107,1070,1070,District of Columbia DC,-77.045591,38.905374,2012.62929,1
11001,108,1080,1080,District of Columbia DC,-77.046785,38.89784,7016.827251,1
11001,109,1090,1090,District of Columbia DC,-77.010828,38.819046,3516.078699,1
11001,110,1100,1100,District of Columbia DC,-77.017158,38.874167,4067.963988,1
11001,111,1110,1110,District of Columbia DC,-76.970288,38.924928,5320.655995,1
