type,value
DC9white,14.1
DC9black,16.2
DC9hispanic,11.1
DC9asian,14
Denver9white,12.2
Denver9black,17.1
Denver9hispanic,10.6
Denver9asian,
Detroit9white,7.9
Detroit9black,11.6
Detroit9hispanic,8.4
Detroit9asian,11.6
Nola9white,15.6
Nola9black,13
Nola9hispanic,
Nola9asian,
NYC9white,15.9
NYC9black,19.6
NYC9hispanic,17.2
NYC9asian,18.2
