type,value
DC6white,11.2
DC6black,13.2
DC6hispanic,10.3
DC6asian,11.6
DC9white,14.1
DC9black,16.2
DC9hispanic,11.1
DC9asian,14
Denver6white,10.1
Denver6black,10.8
Denver6hispanic,8.7
Denver6asian,
Denver9white,12.2
Denver9black,17.1
Denver9hispanic,10.6
Denver9asian,
Detroit6white,5
Detroit6black,7.6
Detroit6hispanic,6.9
Detroit6asian,6
Detroit9white,7.9
Detroit9black,11.6
Detroit9hispanic,8.4
Detroit9asian,11.6
Nola6white,
Nola6black,
Nola6hispanic,
Nola6asian,
Nola9white,15.6
Nola9black,13
Nola9hispanic,
Nola9asian,
NYC6white,
NYC6black,
NYC6hispanic,
NYC6asian,
NYC9white,15.9
NYC9black,19.6
NYC9hispanic,17.2
NYC9asian,18.2
