ward,pop,white,black,asian,latino,transit6,drive6,transit9,drive9
Ward1,76197,0.484,0.325,0.041,0.208,20.45851,10.45009,20.35485,10.76494
Ward2,79915,0.717,0.126,0.087,0.095,22.30904,12.41118,24.73614,14.47723
Ward3,77152,0.835,0.05,0.067,0.075,21.75827,8.868006,23.07791,10.82966
Ward4,75773,0.245,0.587,0.016,0.187,23.46943,10.82014,26.98276,12.78176
Ward5,74308,0.165,0.76,0.014,0.063,23.78627,11.05688,33.00704,16.09083
Ward6,76598,0.497,0.416,0.041,0.048,22.67822,11.65589,27.86519,15.33037
Ward7,71068,0.018,0.949,0.002,0.023,31.57161,15.41201,33.42635,17.71264
Ward8,70712,0.037,0.935,0.004,0.018,30.11742,14.89718,35.54984,18.22115
