time,ward1,ward2,ward3,ward4,ward5,ward6,ward7,ward8
0,0.060164661,0.041208791,0.087809917,0.081297976,0.055968689,0.08174692,0.055262427,0.068748596
2,0.167194427,0.211538462,0.272727273,0.17585485,0.108806262,0.164053751,0.133018606,0.134351831
4,0.164661178,0.131868132,0.273760331,0.130146546,0.113894325,0.129339306,0.097472924,0.115704336
6,0.144395187,0.137362637,0.143595041,0.110607118,0.111937378,0.091825308,0.089697306,0.103347562
8,0.088030399,0.065934066,0.064049587,0.081995813,0.07592955,0.086786114,0.072479867,0.086497416
10,0.074730842,0.082417582,0.025826446,0.065945569,0.064579256,0.08118701,0.058872535,0.064929229
12,0.06839772,0.065934066,0.024793388,0.069085834,0.081409002,0.059350504,0.057761733,0.041563694
14,0.07409753,0.052197802,0.012396694,0.06140963,0.07592955,0.061030235,0.049153013,0.038418333
16,0.043065231,0.054945055,0.008264463,0.049895324,0.068493151,0.038633819,0.039433491,0.036171647
18,0.032298923,0.052197802,0.009297521,0.040823447,0.046575342,0.030235162,0.034434879,0.039766345
20,0.031665611,0.032967033,0.008264463,0.031402652,0.050880626,0.030235162,0.039988892,0.028308245
22,0.013932869,0.019230769,0.01446281,0.015352408,0.025440313,0.029675252,0.03499028,0.030330263
24,0.012666244,0.016483516,0.016528926,0.014654571,0.026223092,0.030235162,0.039433491,0.020444844
26,0.006333122,0.021978022,0.013429752,0.016050244,0.019569472,0.01399776,0.02166065,0.019096832
28,0.006333122,0.005494505,0.013429752,0.011165387,0.014481409,0.019596865,0.022493752,0.022916199
30,0.004433186,0.005494505,0.005165289,0.012909979,0.018003914,0.010638298,0.022771452,0.020444844
32,0.004433186,0,0.002066116,0.009071877,0.012133072,0.007838746,0.026936962,0.019770838
34,0.002533249,0.002747253,0.001033058,0.007676204,0.010176125,0.007278835,0.019716745,0.018647495
36,0.000633312,0,0.001033058,0.004884857,0.007436399,0.005599104,0.013607331,0.016625477
38,0,0,0,0.003140265,0.005088063,0.010078387,0.018050542,0.01617614
40,0,0,0.001033058,0.003140265,0.004305284,0.006159015,0.014718134,0.01303078
42,0,0,0,0.001395673,0.002348337,0.003359462,0.010274924,0.012132105
44,0,0,0,0.000348918,0,0.00055991,0.006109414,0.009885419
46,0,0,0,0.001395673,0.000391389,0,0.005554013,0.008986745
48,0,0,0,0.000348918,0,0.00055991,0.001943904,0.004044035
50,0,0,0,0,0,0,0.003332408,0.002471355
52,0,0,0.001033058,0,0,0,0.000833102,0.002696023
54,0,0,0,0,0,0,0.002499306,0.00157268
56,0,0,0,0,0,0,0.003332408,0.002471355
58,0,0,0,0,0,0,0.001666204,0.000224669
60,0,0,0,0,0,0,0.000555401,0.000224669
62,0,0,0,0,0,0,0.000555401,0
64,0,0,0,0,0,0,0.000555401,0
66,0,0,0,0,0,0,0.000277701,0
68,0,0,0,0,0,0,0.000555401,0
