time,ward1,ward2,ward3,ward4,ward5,ward6,ward7,ward8
0,0.034988713,0.010928962,0.004282655,0.04736211,0.039791259,0.039923954,0.022872827,0.03961136
2,0.125282167,0.06010929,0.13490364,0.122302158,0.082844097,0.105513308,0.093321134,0.076606876
4,0.132054176,0.049180328,0.246252677,0.12470024,0.092628832,0.091254753,0.103842635,0.111733931
6,0.156884876,0.12568306,0.214132762,0.120503597,0.106979778,0.101711027,0.103842635,0.099028401
8,0.089164786,0.092896175,0.117773019,0.083333333,0.079582518,0.102661597,0.070905764,0.099028401
10,0.084650113,0.153005464,0.04496788,0.075539568,0.073711676,0.096958175,0.070448307,0.06651719
12,0.08013544,0.081967213,0.042826552,0.089928058,0.09458578,0.070342205,0.074565416,0.044095665
14,0.100451467,0.076502732,0.023554604,0.077338129,0.090671885,0.081749049,0.057182068,0.040732436
16,0.05530474,0.081967213,0.014989293,0.060551559,0.083496412,0.040874525,0.039341263,0.040358744
18,0.044018059,0.081967213,0.019271949,0.045563549,0.047619048,0.033269962,0.03568161,0.049327354
20,0.03724605,0.054644809,0.014989293,0.037769784,0.047619048,0.035171103,0.037511436,0.039237668
22,0.021444695,0.032786885,0.025695931,0.013788969,0.022178735,0.040874525,0.036139067,0.0377429
24,0.010158014,0.032786885,0.029978587,0.020383693,0.023483366,0.040874525,0.03705398,0.022795217
26,0.006772009,0.043715847,0.021413276,0.01618705,0.018917156,0.020912548,0.018755718,0.020553064
28,0.007900677,0.005464481,0.025695931,0.01558753,0.018917156,0.023764259,0.026075023,0.028400598
30,0.003386005,0.010928962,0.010706638,0.012589928,0.02283105,0.012357414,0.023330284,0.026158445
32,0.005643341,0,0.004282655,0.011990408,0.014350946,0.011406844,0.028362306,0.026532138
34,0.003386005,0.005464481,0,0.008393285,0.01369863,0.009505703,0.021043001,0.024663677
36,0.001128668,0,0.002141328,0.003597122,0.00913242,0.006653992,0.015553522,0.021674141
38,0,0,0,0.003597122,0.007175473,0.016159696,0.021957914,0.018310912
40,0,0,0,0.004796163,0.006523157,0.010456274,0.018298262,0.014573991
42,0,0,0,0.002398082,0.002609263,0.005703422,0.010064044,0.012331839
44,0,0,0,0.00059952,0,0.00095057,0.007776761,0.012705531
46,0,0,0,0.001199041,0.000652316,0,0.007319305,0.01083707
48,0,0,0,0,0,0.00095057,0.002287283,0.004484305
50,0,0,0,0,0,0,0.003659652,0.002242152
52,0,0,0.002141328,0,0,0,0.000457457,0.002615845
54,0,0,0,0,0,0,0.003202196,0.002615845
56,0,0,0,0,0,0,0.005032022,0.003736921
58,0,0,0,0,0,0,0.002744739,0.000373692
60,0,0,0,0,0,0,0.000457457,0.000373692
62,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0.000914913,0
70,0,0,0,0,0,0,0.000914913,0
72,0,0,0,0,0,0,0.000457457,0
74,0,0,0,0,0,0,0.000914913,0
